FIRST_NAME,LAST_NAME,TEAMS
Charles,Fraser,Hamilton Tigers
Red,Green,"Hamilton Tigers, New York Americans, Boston Bruins, Detroit Cougars"
Shorty,Green,"Hamilton Tigers, New York Americans"
Jesse,Spring,"Hamilton Tigers, Pittsburgh Pirates, Toronto St. Patricks, New York Americans"
Bobby,Boucher,Montréal Canadiens
Billy,Cameron,"Montréal Canadiens, New York Americans"
Sylvio,Mantha,"Montréal Canadiens, Boston Bruins"
Howie,Morenz,"Montréal Canadiens, Chicago Blackhawks, New York Rangers"
Albert,Holway,"Toronto St. Patricks, Montreal Maroons, Pittsburgh Pirates"
Wilf,Loughlin,Toronto St. Patricks
Chris,Speyer,"Toronto St. Patricks, New York Americans"
Ed,Gorman,"Ottawa Senators (1917), Toronto Maple Leafs"
Alex,Smith,"Ottawa Senators (1917), Detroit Falcons, Boston Bruins, New York Americans"
Hooley,Smith,"Ottawa Senators (1917), Montreal Maroons, Boston Bruins, New York Americans"
Alec,Connell,"Ottawa Senators (1917), Detroit Falcons, New York Americans, Montreal Maroons"
Charlie,Cotch,"Hamilton Tigers, Toronto St. Patricks"
Charlie,Langlois,"Hamilton Tigers, New York Americans, Pittsburgh Pirates, Montréal Canadiens"
Alex,McKinnon,"Hamilton Tigers, New York Americans, Chicago Blackhawks"
Bobby,Benson,Boston Bruins
George,Carroll,"Boston Bruins, Montreal Maroons"
Lloyd,Cook,Boston Bruins
Carson,Cooper,"Boston Bruins, Montréal Canadiens, Detroit Cougars, Detroit Falcons"
John,Ingram,Boston Bruins
Smokey,Harris,Boston Bruins
Fern,Headley,"Boston Bruins, Montréal Canadiens"
Jimmy,Herberts,"Boston Bruins, Toronto Maple Leafs, Detroit Cougars"
Herb,Mitchell,Boston Bruins
Bernie,Morris,Boston Bruins
George,Redding,Boston Bruins
Bobby,Rowe,Boston Bruins
Werner,Schnarr,Boston Bruins
Norm,Shay,"Boston Bruins, Toronto St. Patricks"
Emory,Sparrow,Boston Bruins
Hec,Fowler,Boston Bruins
Charles,Stewart,Boston Bruins
Rene,Joliat,Montréal Canadiens
Roland,Lafleur,Montréal Canadiens
Johnny,Matz,Montréal Canadiens
Hap,Day,"Toronto St. Patricks, Toronto Maple Leafs, New York Americans"
Alvin,Fisher,Toronto St. Patricks
Bert,McCaffrey,"Toronto St. Patricks, Pittsburgh Pirates, Toronto Maple Leafs, Montréal Canadiens"
Mike,Neville,"Toronto St. Patricks, New York Americans"
Reg,Reid,Toronto St. Patricks
Francis,Cain,"Montreal Maroons, Toronto St. Patricks"
Chuck,Dinsmore,Montreal Maroons
Fred,Lowrey,"Montreal Maroons, Pittsburgh Pirates"
Dunc,Munro,"Montreal Maroons, Montréal Canadiens"
Gerry,Munro,"Montreal Maroons, Toronto St. Patricks"
Ernie,Parkes,Montreal Maroons
Sam,Rothschild,"Montreal Maroons, Pittsburgh Pirates, New York Americans"
John,Duggan,Ottawa Senators (1917)
Hec,Kilrea,"Ottawa Senators (1917), Detroit Falcons, Toronto Maple Leafs, Detroit Red Wings"
Lionel,Conacher,"Pittsburgh Pirates, New York Americans, Montreal Maroons, Chicago Blackhawks"
Baldy,Cotton,"Pittsburgh Pirates, Toronto Maple Leafs, New York Americans"
Harold,Darragh,"Pittsburgh Pirates, Boston Bruins, Philadelphia Quakers, Toronto Maple Leafs"
Herb,Drury,"Pittsburgh Pirates, Philadelphia Quakers"
Duke,McCurry,Pittsburgh Pirates
Hib,Milks,"Pittsburgh Pirates, Philadelphia Quakers, New York Rangers, Ottawa Senators (1917)"
Rodger,Smith,"Pittsburgh Pirates, Philadelphia Quakers"
Tex,White,"Pittsburgh Pirates, New York Americans, Philadelphia Quakers"
Roy,Worters,"Pittsburgh Pirates, New York Americans, Montréal Canadiens"
Fred,Bergdinon,Boston Bruins
John,Brackenborough,Boston Bruins
Charles,Cahill,Boston Bruins
Hago,Harrington,"Boston Bruins, Montréal Canadiens"
Bonner,Larose,Boston Bruins
Moe,Roberts,"Boston Bruins, New York Americans, Chicago Blackhawks"
Roger,Cormier,Montréal Canadiens
Bill,Holmes,"Montréal Canadiens, New York Americans"
Wildor,Larochelle,"Montréal Canadiens, Chicago Blackhawks"
Albert,Leduc,"Montréal Canadiens, New York Rangers, Ottawa Senators (1917)"
Hec,Lepine,Montréal Canadiens
Pit,Lepine,Montréal Canadiens
John,McKinnon,"Montréal Canadiens, Pittsburgh Pirates, Philadelphia Quakers"
Rollie,Paulhus,Montréal Canadiens
Frenchy,Lacroix,Montréal Canadiens
Herb,Rheaume,Montréal Canadiens
Gordon,Spence,Toronto St. Patricks
Pete,Bellefeuille,"Toronto St. Patricks, Detroit Cougars"
Bernie,Brophy,"Montreal Maroons, Detroit Cougars"
Frank,Carson,"Montreal Maroons, New York Americans, Detroit Falcons, Detroit Red Wings"
George,Horne,"Montreal Maroons, Toronto Maple Leafs"
Hobie,Kitchen,"Montreal Maroons, Detroit Cougars"
Merlyn,Phillips,"Montreal Maroons, New York Americans"
Babe,Siebert,"Montreal Maroons, New York Rangers, Boston Bruins, Montréal Canadiens"
Nels,Stewart,"Montreal Maroons, Boston Bruins, New York Americans"
