FIRST_NAME,LAST_NAME,TEAMS
Connie,Madigan,St. Louis Blues
Wayne,Merrick,"St. Louis Blues, California Golden Seals, Cleveland Barons, New York Islanders"
Bob,Johnson,"St. Louis Blues, Pittsburgh Penguins"
Larry,Bolonchuk,"Vancouver Canucks, Washington Capitals"
Ron,Homenuke,Vancouver Canucks
Bryan,McSheffrey,"Vancouver Canucks, Buffalo Sabres"
Don,Lever,"Vancouver Canucks, Atlanta Flames, Calgary Flames, Colorado Rockies, New Jersey Devils, Buffalo Sabres"
Don,Tannahill,Vancouver Canucks
Barry,Wilcox,Vancouver Canucks
John,Wright,"Vancouver Canucks, St. Louis Blues, Kansas City Scouts"
Bruce,Bullock,Vancouver Canucks
Dave,McLelland,Vancouver Canucks
Ted,McAneeley,California Golden Seals
Brent,Meeke,"California Golden Seals, Cleveland Barons"
Morris,Mott,California Golden Seals
Pete,Vipond,California Golden Seals
Terry,Murray,"California Golden Seals, Philadelphia Flyers, Detroit Red Wings, Washington Capitals"
Stan,Weir,"California Golden Seals, Toronto Maple Leafs, Edmonton Oilers, Colorado Rockies, Detroit Red Wings"
Phil,Hoene,Los Angeles Kings
Neil,Komadoski,"Los Angeles Kings, St. Louis Blues"
Don,Kozak,"Los Angeles Kings, Vancouver Canucks"
Barry,Long,"Los Angeles Kings, Detroit Red Wings, Winnipeg Jets (1979)"
Vic,Venasky,Los Angeles Kings
Jerry,Byers,"Minnesota North Stars, Atlanta Flames, New York Rangers"
Terry,Holbrook,Minnesota North Stars
Jim,McElmury,"Minnesota North Stars, Kansas City Scouts, Colorado Rockies"
Bruce,McIntosh,Minnesota North Stars
Chris,Ahrens,Minnesota North Stars
Dave,Lewis,"New York Islanders, Los Angeles Kings, New Jersey Devils, Detroit Red Wings"
Vic,Teal,New York Islanders
Denis,Potvin,New York Islanders
Andre,St. Laurent,"New York Islanders, Detroit Red Wings, Los Angeles Kings, Pittsburgh Penguins"
Glenn,Resch,"New York Islanders, Colorado Rockies, New Jersey Devils, Philadelphia Flyers"
Bert,Wilson,"New York Rangers, St. Louis Blues, Los Angeles Kings, Calgary Flames"
Al,MacAdam,"Philadelphia Flyers, California Golden Seals, Cleveland Barons, Minnesota North Stars, Vancouver Canucks"
Bruce,Cowick,"Philadelphia Flyers, Washington Capitals, St. Louis Blues"
Larry,Bignell,Pittsburgh Penguins
Wayne,Bianchin,"Pittsburgh Penguins, Edmonton Oilers"
Bernie,Lukowich,"Pittsburgh Penguins, St. Louis Blues"
Bob,McManama,Pittsburgh Penguins
Hank,Nowak,"Pittsburgh Penguins, Boston Bruins, Detroit Red Wings"
Bob,Kelly,"Pittsburgh Penguins, St. Louis Blues, Chicago Blackhawks"
Ted,Snell,"Pittsburgh Penguins, Kansas City Scouts, Detroit Red Wings"
Blaine,Stoughton,"Pittsburgh Penguins, Toronto Maple Leafs, Hartford Whalers, New York Rangers"
Gary,Inness,"Pittsburgh Penguins, Philadelphia Flyers, Washington Capitals"
Bob,Gryp,"Boston Bruins, Washington Capitals"
Dave,Forbes,"Boston Bruins, Washington Capitals"
Dave,Hynes,Boston Bruins
Doug,Gibson,"Boston Bruins, Washington Capitals"
Andre,Savard,"Boston Bruins, Buffalo Sabres, Quebec Nordiques"
Al,Sims,"Boston Bruins, Hartford Whalers, Los Angeles Kings"
Bill,Hajt,Buffalo Sabres
Peter,McNab,"Buffalo Sabres, Boston Bruins, Vancouver Canucks, New Jersey Devils"
Gary,Bromley,"Buffalo Sabres, Vancouver Canucks"
Bob,Gainey,Montréal Canadiens
Glenn,Goldup,"Montréal Canadiens, Los Angeles Kings"
John,Van Boxmeer,"Montréal Canadiens, Colorado Rockies, Buffalo Sabres, Quebec Nordiques"
Rick,Wilson,"Montréal Canadiens, St. Louis Blues, Detroit Red Wings"
Michel,Larocque,"Montréal Canadiens, Toronto Maple Leafs, Philadelphia Flyers, St. Louis Blues"
Inge,Hammarstrom,"Toronto Maple Leafs, St. Louis Blues"
Lanny,McDonald,"Toronto Maple Leafs, Colorado Rockies, Calgary Flames"
Bob,Neely,"Toronto Maple Leafs, Colorado Rockies"
Borje,Salming,"Toronto Maple Leafs, Detroit Red Wings"
Ian,Turnbull,"Toronto Maple Leafs, Los Angeles Kings, Pittsburgh Penguins"
Dwight,Bialowas,"Atlanta Flames, Minnesota North Stars"
Jean,Lemieux,"Atlanta Flames, Washington Capitals"
Don,Martineau,"Atlanta Flames, Minnesota North Stars, Detroit Red Wings"
Bob,Murray,"Atlanta Flames, Vancouver Canucks"
Ed,Kea,"Atlanta Flames, St. Louis Blues"
Tom,Lysiak,"Atlanta Flames, Chicago Blackhawks"
Eric,Vail,"Atlanta Flames, Calgary Flames, Detroit Red Wings"
Gary,Donaldson,Chicago Blackhawks
Rob,Palmer,Chicago Blackhawks
Lynn,Powis,"Chicago Blackhawks, Kansas City Scouts"
Darcy,Rota,"Chicago Blackhawks, Atlanta Flames, Vancouver Canucks"
Mike,Veisor,"Chicago Blackhawks, Hartford Whalers, Winnipeg Jets (1979)"
Nelson,Debenedet,"Detroit Red Wings, Pittsburgh Penguins"
Tord,Lundstrom,Detroit Red Wings
Al,McLeod,Detroit Red Wings
Tom,Mellor,Detroit Red Wings
Mike,Korney,"Detroit Red Wings, New York Rangers"
Murray,Wing,Detroit Red Wings
Nelson,Pyatt,"Detroit Red Wings, Washington Capitals, Colorado Rockies"
Blair,Stewart,"Detroit Red Wings, Washington Capitals, Quebec Nordiques"
Doug,Grant,"Detroit Red Wings, St. Louis Blues"
Bill,McKenzie,"Detroit Red Wings, Kansas City Scouts, Colorado Rockies"
Terrance,Richardson,"Detroit Red Wings, St. Louis Blues"
Bob,Collyard,St. Louis Blues
Connie,Forey,St. Louis Blues
Bob,Gassoff,St. Louis Blues
Larry,Giroux,"St. Louis Blues, Kansas City Scouts, Detroit Red Wings, Hartford Whalers"
Bernie,MacNeil,St. Louis Blues
Glenn,Patrick,"St. Louis Blues, California Golden Seals, Cleveland Barons"
Butch,Williams,"St. Louis Blues, California Golden Seals"
John,Wensink,"St. Louis Blues, Boston Bruins, Quebec Nordiques, Colorado Rockies, New Jersey Devils"
John,Davidson,"St. Louis Blues, New York Rangers"
Jim,Watt,St. Louis Blues
Paulin,Bordeleau,Vancouver Canucks
Bob,Dailey,"Vancouver Canucks, Philadelphia Flyers"
Peter,Folco,Vancouver Canucks
Dave,Dunn,"Vancouver Canucks, Toronto Maple Leafs"
Dan,Gloor,Vancouver Canucks
Larry,Gould,Vancouver Canucks
Dennis,McCord,Vancouver Canucks
Paul,O'Neil,"Vancouver Canucks, Boston Bruins"
Gene,Sobchuk,Vancouver Canucks
Steve,Stone,Vancouver Canucks
Dennis,Ververgaert,"Vancouver Canucks, Philadelphia Flyers, Washington Capitals"
Lyle,Bradley,"California Golden Seals, Cleveland Barons"
Gary,Coalter,"California Golden Seals, Kansas City Scouts"
Barry,Cummins,California Golden Seals
Gary,Holt,"California Golden Seals, Cleveland Barons, St. Louis Blues"
Dave,Hrechkosy,"California Golden Seals, St. Louis Blues"
Ron,Huston,California Golden Seals
Wayne,King,California Golden Seals
Bruce,Greig,California Golden Seals
Ron,Serafini,California Golden Seals
Paul,Shakes,California Golden Seals
Hartland,Monahan,"California Golden Seals, New York Rangers, Washington Capitals, Pittsburgh Penguins, Los Angeles Kings, St. Louis Blues"
Larry,Patey,"California Golden Seals, St. Louis Blues, New York Rangers"
Ted,Tucker,California Golden Seals
Rick,Chinnick,Minnesota North Stars
Blake,Dunlop,"Minnesota North Stars, Philadelphia Flyers, St. Louis Blues, Detroit Red Wings"
Alain,Langlais,Minnesota North Stars
Rod,Norrish,Minnesota North Stars
John,Rogers,Minnesota North Stars
Bob,Bourne,"New York Islanders, Los Angeles Kings"
Clark,Gillies,"New York Islanders, Buffalo Sabres"
John,Bednarski,"New York Rangers, Edmonton Oilers"
Jerry,Holland,New York Rangers
Ron,Greschner,New York Rangers
Bob,MacMillan,"New York Rangers, St. Louis Blues, Atlanta Flames, Calgary Flames, Colorado Rockies, New Jersey Devils, Chicago Blackhawks"
Dave,Maloney,"New York Rangers, Buffalo Sabres"
Rick,Middleton,"New York Rangers, Boston Bruins"
Joe,Zanussi,"New York Rangers, Boston Bruins, St. Louis Blues"
Curt,Ridley,"New York Rangers, Vancouver Canucks, Toronto Maple Leafs"
Mike,Boland,Philadelphia Flyers
Larry,Goodenough,"Philadelphia Flyers, Vancouver Canucks"
Jack,McIlhargey,"Philadelphia Flyers, Vancouver Canucks, Hartford Whalers"
Bob,Sirois,"Philadelphia Flyers, Washington Capitals"
Harvey,Bennett,"Pittsburgh Penguins, Washington Capitals, Philadelphia Flyers, Minnesota North Stars, St. Louis Blues"
Yves,Bergeron,Pittsburgh Penguins
Colin,Campbell,"Pittsburgh Penguins, Colorado Rockies, Edmonton Oilers, Vancouver Canucks, Detroit Red Wings"
Mario,Faubert,Pittsburgh Penguins
Kelly,Pratt,Pittsburgh Penguins
Pierre,Larouche,"Pittsburgh Penguins, Montréal Canadiens, Hartford Whalers, New York Rangers"
Bob,Stumpf,"Pittsburgh Penguins, St. Louis Blues"
Dennis,Owchar,"Pittsburgh Penguins, Colorado Rockies"
Earl,Anderson,"Boston Bruins, Detroit Red Wings"
Gordie,Clark,Boston Bruins
Rod,Graham,Boston Bruins
Steve,Langdon,Boston Bruins
Jake,Rathwell,Boston Bruins
Craig,Sarner,Boston Bruins
Lee,Fogolin Jr.,"Buffalo Sabres, Edmonton Oilers"
Danny,Gare,"Buffalo Sabres, Detroit Red Wings, Edmonton Oilers"
Paul,McIntosh,Buffalo Sabres
Morris,Titanic,Buffalo Sabres
Michel,Deziel,Buffalo Sabres
Ron,Andruff,"Montréal Canadiens, Colorado Rockies"
Rick,Chartraw,"Montréal Canadiens, Los Angeles Kings, New York Rangers, Edmonton Oilers"
Doug,Risebrough,"Montréal Canadiens, Calgary Flames"
Mario,Tremblay,Montréal Canadiens
Claire,Alexander,"Toronto Maple Leafs, Vancouver Canucks"
Bob,Sykes,Toronto Maple Leafs
Jack,Valiquette,"Toronto Maple Leafs, Colorado Rockies"
Dave,Williams,"Toronto Maple Leafs, Vancouver Canucks, Detroit Red Wings, Los Angeles Kings, Hartford Whalers"
Pierre,Hamel,"Toronto Maple Leafs, Winnipeg Jets (1979)"
Guy,Chouinard,"Atlanta Flames, Calgary Flames, St. Louis Blues"
Vic,Mercredi,Atlanta Flames
Dean,Talafous,"Atlanta Flames, Minnesota North Stars, New York Rangers"
Murray,Anderson,Washington Capitals
Ron,Anderson,Washington Capitals
Mike,Bloom,"Washington Capitals, Detroit Red Wings"
Larry,Fullan,Washington Capitals
Jim,Hrycuik,Washington Capitals
Paul,Nicholson,Washington Capitals
Greg,Joly,"Washington Capitals, Detroit Red Wings"
Mike,Marson,"Washington Capitals, Los Angeles Kings"
Andre,Peloffy,Washington Capitals
Bill,Riley,"Washington Capitals, Winnipeg Jets (1979)"
Gord,Smith,"Washington Capitals, Winnipeg Jets (1979)"
Tony,White,"Washington Capitals, Minnesota North Stars"
Mike,Baumgartner,Kansas City Scouts
Doug,Buhr,Kansas City Scouts
Glen,Burdon,Kansas City Scouts
Mike,Boland,"Kansas City Scouts, Buffalo Sabres"
Norm,Dube,Kansas City Scouts
Ed,Gilbert,"Kansas City Scouts, Pittsburgh Penguins"
Hugh,Harvey,Kansas City Scouts
Doug,Horbul,Kansas City Scouts
Claude,Houde,Kansas City Scouts
Henry,Lehvonen,Kansas City Scouts
Roger,Lemelin,"Kansas City Scouts, Colorado Rockies"
Wilf,Paiement,"Kansas City Scouts, Colorado Rockies, Toronto Maple Leafs, Quebec Nordiques, New York Rangers, Buffalo Sabres, Pittsburgh Penguins"
Dennis,Patterson,"Kansas City Scouts, Philadelphia Flyers"
Alain,Daigle,Chicago Blackhawks
Randy,Holt,"Chicago Blackhawks, Cleveland Barons, Vancouver Canucks, Los Angeles Kings, Calgary Flames, Washington Capitals, Philadelphia Flyers"
Roger,Wilson,Chicago Blackhawks
Duane,Wylie,Chicago Blackhawks
Grant,Mulvey,"Chicago Blackhawks, New Jersey Devils"
Michel,Dumas,Chicago Blackhawks
Frank,Bathe,"Detroit Red Wings, Philadelphia Flyers"
Michel,Bergeron,"Detroit Red Wings, New York Islanders, Washington Capitals"
Brian,McCutcheon,Detroit Red Wings
Brian,Murphy,Detroit Red Wings
Jim,Nahrgang,Detroit Red Wings
Barry,Salovaara,Detroit Red Wings
Bill,Lochead,"Detroit Red Wings, Colorado Rockies, New York Rangers"
Dennis,Polonich,Detroit Red Wings
Bruce,Affleck,"St. Louis Blues, Vancouver Canucks, New York Islanders"
Jack,Borotsik,St. Louis Blues
Gord,Buynak,St. Louis Blues
Murray,Kuntz,St. Louis Blues
Jim,McCrimmon,St. Louis Blues
Bob,Hess,"St. Louis Blues, Buffalo Sabres, Hartford Whalers"
Don,Wheldon,St. Louis Blues
Doug,Palazzari,St. Louis Blues
Kenneth,Richardson,St. Louis Blues
Yves,Belanger,"St. Louis Blues, Atlanta Flames, Boston Bruins"
Bob,Hurlburt,Vancouver Canucks
Ron,Sedlbauer,"Vancouver Canucks, Chicago Blackhawks, Toronto Maple Leafs"
Harold,Snepsts,"Vancouver Canucks, Minnesota North Stars, Detroit Red Wings, St. Louis Blues"
Ken,Lockett,Vancouver Canucks
Fred,Ahern,"California Golden Seals, Cleveland Barons, Colorado Rockies"
Mike,Christie,"California Golden Seals, Cleveland Barons, Colorado Rockies, Vancouver Canucks"
Rick,Hampton,"California Golden Seals, Cleveland Barons, Los Angeles Kings"
Jim,Moxey,"California Golden Seals, Cleveland Barons, Los Angeles Kings"
George,Pesut,California Golden Seals
Thomas,Price,"California Golden Seals, Pittsburgh Penguins, Cleveland Barons"
Charlie,Simmer,"California Golden Seals, Cleveland Barons, Los Angeles Kings, Boston Bruins, Pittsburgh Penguins"
Gary,Simmons,"California Golden Seals, Cleveland Barons, Los Angeles Kings"
Dave,Hutchison,"Los Angeles Kings, Toronto Maple Leafs, Chicago Blackhawks, New Jersey Devils"
Dave,Cressman,Minnesota North Stars
John,Flesch,"Minnesota North Stars, Pittsburgh Penguins, Colorado Rockies"
Kim,MacDougall,Minnesota North Stars
Doug,Hicks,"Minnesota North Stars, Chicago Blackhawks, Edmonton Oilers, Washington Capitals"
Rich,Nantais,Minnesota North Stars
Tom,Colley,Minnesota North Stars
Pete,Lopresti,"Minnesota North Stars, Edmonton Oilers"
Pat,Price,"New York Islanders, Edmonton Oilers, Pittsburgh Penguins, Quebec Nordiques, New York Rangers, Minnesota North Stars"
Bryan,Trottier,"New York Islanders, Pittsburgh Penguins"
Wayne,Dillon,"New York Rangers, Winnipeg Jets (1979)"
Greg,Holst,New York Rangers
Pat,Hickey,"New York Rangers, Colorado Rockies, Toronto Maple Leafs, Quebec Nordiques, St. Louis Blues"
Eddie,Johnstone,"New York Rangers, Detroit Red Wings"
Dale,Lewis,New York Rangers
Doug,Soetaert,"New York Rangers, Winnipeg Jets (1979), Montréal Canadiens"
Mel,Bridgman,"Philadelphia Flyers, Calgary Flames, New Jersey Devils, Detroit Red Wings, Vancouver Canucks"
Paul,Holmgren,"Philadelphia Flyers, Minnesota North Stars"
Jerome,Mrazek,Philadelphia Flyers
Jacques,Cossette,Pittsburgh Penguins
Gordon,Laxton,Pittsburgh Penguins
Rick,Adduono,"Boston Bruins, Atlanta Flames"
Doug,Halward,"Boston Bruins, Los Angeles Kings, Vancouver Canucks, Detroit Red Wings, Edmonton Oilers"
Ray,Maluta,Boston Bruins
Stan,Jonathan,"Boston Bruins, Pittsburgh Penguins"
Kent,Ruhnke,Boston Bruins
Mike,Milbury,Boston Bruins
Barry,Smith,"Boston Bruins, Colorado Rockies"
Dave,Reece,Boston Bruins
Ken,Breitenbach,Buffalo Sabres
Terry,Martin,"Buffalo Sabres, Quebec Nordiques, Toronto Maple Leafs, Edmonton Oilers, Minnesota North Stars"
Gary,Mcadam,"Buffalo Sabres, Pittsburgh Penguins, Detroit Red Wings, Calgary Flames, New Jersey Devils, Washington Capitals, Toronto Maple Leafs"
Derek,Smith,"Buffalo Sabres, Detroit Red Wings"
Doug,Jarvis,"Montréal Canadiens, Washington Capitals, Hartford Whalers"
Sean,Shanahan,"Montréal Canadiens, Colorado Rockies, Boston Bruins"
Bill,Nyrop,"Montréal Canadiens, Minnesota North Stars"
Don,Ashby,"Toronto Maple Leafs, Colorado Rockies, Edmonton Oilers"
Pat,Boutette,"Toronto Maple Leafs, Hartford Whalers, Pittsburgh Penguins"
Scott,Garland,"Toronto Maple Leafs, Los Angeles Kings"
Greg,Hubick,"Toronto Maple Leafs, Vancouver Canucks"
Kurt,Walker,Toronto Maple Leafs
Robert,Warner,Toronto Maple Leafs
Cam,Botting,Atlanta Flames
Rick,Bowness,"Atlanta Flames, Detroit Red Wings, St. Louis Blues, Winnipeg Jets (1979)"
Ken,Houston,"Atlanta Flames, Calgary Flames, Washington Capitals, Los Angeles Kings"
Claude,St. Sauveur,Atlanta Flames
Richard,Mulhern,"Atlanta Flames, Los Angeles Kings, Toronto Maple Leafs, Winnipeg Jets (1979)"
Willi,Plett,"Atlanta Flames, Calgary Flames, Minnesota North Stars, Boston Bruins"
Pat,Ribble,"Atlanta Flames, Chicago Blackhawks, Toronto Maple Leafs, Washington Capitals, Calgary Flames"
Rick,Bragnalo,Washington Capitals
Brian,Kinsella,Washington Capitals
Gord,Lane,"Washington Capitals, New York Islanders"
Brian,Stapleton,Washington Capitals
Robert,McLean,Washington Capitals
John,Paddock,"Washington Capitals, Philadelphia Flyers, Quebec Nordiques"
Peter,Scamurra,Washington Capitals
Bernie,Wolfe,Washington Capitals
Don,Cairns,"Kansas City Scouts, Colorado Rockies"
Terry,McDonald,Kansas City Scouts
Bill,Oleschuk,"Kansas City Scouts, Colorado Rockies"
David,Logan,"Chicago Blackhawks, Vancouver Canucks"
Bob,Murray,Chicago Blackhawks
Al,Cameron,"Detroit Red Wings, Winnipeg Jets (1979)"
Ken,Mann,Detroit Red Wings
Rick,Lapointe,"Detroit Red Wings, Philadelphia Flyers, St. Louis Blues, Quebec Nordiques, Los Angeles Kings"
Brian,Watts,Detroit Red Wings
Mike,Wong,Detroit Red Wings
Mitch,Babin,St. Louis Blues
Rick,Bourbonnais,St. Louis Blues
James,Masters,St. Louis Blues
Gilles,Gratton,"St. Louis Blues, New York Rangers"
Ed,Staniowski,"St. Louis Blues, Winnipeg Jets (1979), Hartford Whalers"
Rick,Blight,"Vancouver Canucks, Los Angeles Kings"
Brad,Gassoff,Vancouver Canucks
Glen,Richardson,Vancouver Canucks
Bob,Girard,"California Golden Seals, Cleveland Barons, Washington Capitals"
Tim,Jacobs,California Golden Seals
Ralph,Klassen,"California Golden Seals, Cleveland Barons, Colorado Rockies, St. Louis Blues"
Dennis,Maruk,"California Golden Seals, Cleveland Barons, Washington Capitals, Minnesota North Stars"
Bob,Murdoch,"California Golden Seals, Cleveland Barons, St. Louis Blues"
Greg,Smith,"California Golden Seals, Cleveland Barons, Minnesota North Stars, Detroit Red Wings, Washington Capitals"
Dennis,Abgrall,Los Angeles Kings
Jim,Witherspoon,Los Angeles Kings
Gary,Sargent,"Los Angeles Kings, Minnesota North Stars"
Mike,Antonovich,"Minnesota North Stars, Hartford Whalers, New Jersey Devils"
Jerry,Engele,Minnesota North Stars
Steve,Jensen,"Minnesota North Stars, Los Angeles Kings"
Tim,Young,"Minnesota North Stars, Winnipeg Jets (1979), Philadelphia Flyers"
Paul,Harrison,"Minnesota North Stars, Toronto Maple Leafs, Pittsburgh Penguins, Buffalo Sabres"
Richie,Hansen,"New York Islanders, St. Louis Blues"
Bob,Lorimer,"New York Islanders, Colorado Rockies, New Jersey Devils"
David,Salvian,New York Islanders
Barry,Dean,"Colorado Rockies, Philadelphia Flyers"
Ron,Delorme,"Colorado Rockies, Vancouver Canucks"
Guy,Delparte,Colorado Rockies
Tom,Edur,"Colorado Rockies, Pittsburgh Penguins"
Paul,Gardner,"Colorado Rockies, Toronto Maple Leafs, Pittsburgh Penguins, Washington Capitals, Buffalo Sabres"
Mike,Kitchen,"Colorado Rockies, New Jersey Devils"
Larry,Skinner,Colorado Rockies
Dave,Farrish,"New York Rangers, Quebec Nordiques, Toronto Maple Leafs"
Nick,Fotiu,"New York Rangers, Hartford Whalers, Calgary Flames, Philadelphia Flyers, Edmonton Oilers"
Larry,Huras,New York Rangers
Mark,Heaslip,"New York Rangers, Los Angeles Kings"
Mike,McEwen,"New York Rangers, Colorado Rockies, New York Islanders, Los Angeles Kings, Washington Capitals, Hartford Whalers, Detroit Red Wings"
Don,Murdoch,"New York Rangers, Edmonton Oilers, Detroit Red Wings"
Dan,Newman,"New York Rangers, Montréal Canadiens, Edmonton Oilers"
Dave,Tataryn,New York Rangers
Norm,Barnes,"Philadelphia Flyers, Hartford Whalers"
Drew,Callander,"Philadelphia Flyers, Vancouver Canucks"
Al,Hill,Philadelphia Flyers
Bob,Ritchie,"Philadelphia Flyers, Detroit Red Wings"
Mark,Suzor,"Philadelphia Flyers, Colorado Rockies"
Russ,Anderson,"Pittsburgh Penguins, Hartford Whalers, Los Angeles Kings"
Blair,Chapman,"Pittsburgh Penguins, St. Louis Blues"
Steve,Lyon,Pittsburgh Penguins
Greg,Malone,"Pittsburgh Penguins, Hartford Whalers, Quebec Nordiques"
Matti,Hagman,"Boston Bruins, Edmonton Oilers"
Clayton,Pachal,"Boston Bruins, Colorado Rockies"
Jim,Pettie,Boston Bruins
Joe,Kowal,Buffalo Sabres
Alex,Tidey,"Buffalo Sabres, Edmonton Oilers"
Don,Edwards,"Buffalo Sabres, Calgary Flames, Toronto Maple Leafs"
Bob,Sauve,"Buffalo Sabres, Detroit Red Wings, Chicago Blackhawks, New Jersey Devils"
Brian,Engblom,"Montréal Canadiens, Washington Capitals, Los Angeles Kings, Buffalo Sabres, Calgary Flames"
Pierre,Mondou,Montréal Canadiens
Mike,Polich,"Montréal Canadiens, Minnesota North Stars"
Bruce,Boudreau,"Toronto Maple Leafs, Chicago Blackhawks"
Randy,Carlyle,"Toronto Maple Leafs, Pittsburgh Penguins, Winnipeg Jets (1979)"
Paul,Evans,Toronto Maple Leafs
Blair,MacKasey,Toronto Maple Leafs
Mike,Palmateer,"Toronto Maple Leafs, Washington Capitals"
Dave,Shand,"Atlanta Flames, Toronto Maple Leafs, Washington Capitals"
Bobby,Simpson,"Atlanta Flames, St. Louis Blues, Pittsburgh Penguins"
Alex,Forsyth,Washington Capitals
Rick,Green,"Washington Capitals, Montréal Canadiens, Detroit Red Wings, New York Islanders"
Steve,Self,Washington Capitals
Douglas,Patey,Washington Capitals
Tom,Rowe,"Washington Capitals, Hartford Whalers, Detroit Red Wings"
Michel,Archambault,Chicago Blackhawks
Kirk,Bowman,Chicago Blackhawks
Ted,Bulley,"Chicago Blackhawks, Washington Capitals, Pittsburgh Penguins"
Dan,Hinton,Chicago Blackhawks
Ian,McKegney,Chicago Blackhawks
Jeffrey,McDill,Chicago Blackhawks
Gregory,Vaydik,Chicago Blackhawks
Mike,Fidler,"Cleveland Barons, Minnesota North Stars, Hartford Whalers, Chicago Blackhawks"
Bjorn,Johansson,Cleveland Barons
Ken,Kuzyk,Cleveland Barons
Vern,Stenlund,Cleveland Barons
Angelo,Moretto,Cleveland Barons
Rick,Shinske,"Cleveland Barons, St. Louis Blues"
Fred,Berry,Detroit Red Wings
Stephen,Coates,Detroit Red Wings
Dave,Kelly,Detroit Red Wings
Fern,LeBlanc,Detroit Red Wings
Reed,Larson,"Detroit Red Wings, Boston Bruins, New York Islanders, Edmonton Oilers, Minnesota North Stars, Buffalo Sabres"
Kevin,Schamehorn,"Detroit Red Wings, Los Angeles Kings"
Dwight,Schofield,"Detroit Red Wings, Montréal Canadiens, St. Louis Blues, Washington Capitals, Pittsburgh Penguins, Winnipeg Jets (1979)"
Fred,Williams,Detroit Red Wings
Bernie,Federko,"St. Louis Blues, Detroit Red Wings"
Brian,Sutter,St. Louis Blues
Rob,Flockhart,"Vancouver Canucks, Minnesota North Stars"
Bob,Manno,"Vancouver Canucks, Toronto Maple Leafs, Detroit Red Wings"
Andy,Spruce,"Vancouver Canucks, Colorado Rockies"
Steve,Clippingdale,"Los Angeles Kings, Washington Capitals"
Lorne,Stamler,"Los Angeles Kings, Toronto Maple Leafs, Winnipeg Jets (1979)"
Russell,Walker,Los Angeles Kings
Roland,Eriksson,"Minnesota North Stars, Vancouver Canucks"
Alex,Pirus,"Minnesota North Stars, Detroit Red Wings"
Jim,Roberts,Minnesota North Stars
Glen,Sharpley,"Minnesota North Stars, Chicago Blackhawks"
Tom,Younghans,"Minnesota North Stars, New York Rangers"
Mike,Bossy,New York Islanders
Mike,Kaszycki,"New York Islanders, Toronto Maple Leafs, Washington Capitals"
Alex,McKendry,"New York Islanders, Calgary Flames"
Stefan,Persson,New York Islanders
Goran,Hogosta,"New York Islanders, Quebec Nordiques"
Barry,Beck,"Colorado Rockies, New York Rangers, Los Angeles Kings"
Joe,Contini,"Colorado Rockies, Minnesota North Stars"
Lou,Nistico,Colorado Rockies
Rick,Jodzio,"Colorado Rockies, Cleveland Barons"
John,McCahill,Colorado Rockies
Randy,Pierce,"Colorado Rockies, New Jersey Devils, Hartford Whalers"
Lucien,DeBlois,"New York Rangers, Colorado Rockies, Winnipeg Jets (1979), Montréal Canadiens, Quebec Nordiques, Toronto Maple Leafs"
Ron,Duguay,"New York Rangers, Detroit Red Wings, Pittsburgh Penguins, Los Angeles Kings"
Mike,Keating,New York Rangers
Benoit,Gosselin,New York Rangers
Greg,Hickey,New York Rangers
Mario,Marois,"New York Rangers, Quebec Nordiques, Vancouver Canucks, Winnipeg Jets (1979), St. Louis Blues"
Bud,Stefanski,New York Rangers
Hardy,Astrom,"New York Rangers, Colorado Rockies"
Jim,Cunningham,Philadelphia Flyers
Dave,Hoyda,"Philadelphia Flyers, Winnipeg Jets (1979)"
Kevin,McCarthy,"Philadelphia Flyers, Vancouver Canucks, Pittsburgh Penguins"
Rick,St. Croix,"Philadelphia Flyers, Toronto Maple Leafs"
Tom,Cassidy,Pittsburgh Penguins
Kim,Davis,"Pittsburgh Penguins, Toronto Maple Leafs"
Jim,Hamilton,Pittsburgh Penguins
Peter,Lee,Pittsburgh Penguins
Greg,Redquest,Pittsburgh Penguins
Mike,Forbes,"Boston Bruins, Edmonton Oilers"
Dwight,Foster,"Boston Bruins, Colorado Rockies, New Jersey Devils, Detroit Red Wings"
Bob,Miller,"Boston Bruins, Colorado Rockies, Los Angeles Kings"
Ron,Grahame,"Boston Bruins, Los Angeles Kings, Quebec Nordiques"
Richie,Dunn,"Buffalo Sabres, Calgary Flames, Hartford Whalers"
Wayne,Ramsey,Buffalo Sabres
Ric,Seiling,"Buffalo Sabres, Detroit Red Wings"
Bill,Stewart,"Buffalo Sabres, St. Louis Blues, Toronto Maple Leafs, Minnesota North Stars"
Pat,Hughes,"Montréal Canadiens, Pittsburgh Penguins, Edmonton Oilers, Buffalo Sabres, Hartford Whalers, St. Louis Blues"
Gilles,Lupien,"Montréal Canadiens, Hartford Whalers, Pittsburgh Penguins"
Rod,Schutt,"Montréal Canadiens, Pittsburgh Penguins, Toronto Maple Leafs"
John,Anderson,"Toronto Maple Leafs, Quebec Nordiques, Hartford Whalers"
Alain,Belanger,Toronto Maple Leafs
Larry,Hopkins,"Toronto Maple Leafs, Winnipeg Jets (1979)"
Trevor,Johansen,"Toronto Maple Leafs, Colorado Rockies, Los Angeles Kings"
Jimmy,Jones,Toronto Maple Leafs
Ron,Wilson,"Toronto Maple Leafs, Minnesota North Stars"
Greg,Fox,"Atlanta Flames, Chicago Blackhawks, Pittsburgh Penguins"
Harold,Phillipoff,"Atlanta Flames, Chicago Blackhawks"
